code;indicator;subfield;name;repeatability
1;;;;
5;;;;
8;;;;
20;;a;ISBN;
40;;;;
41;;a;Язык;
80;;;;
90;;;;
91;;a;ББК;
;;;;
92;;;;
100;;a;Имя лица;
110;;;;
242;;;;
245;;a;Заглавие;
250;;a;Сведения об издании ;
256;;;;
260;;a;Место публикации;*
;;b;Имя/наименование издателя;*
;;c;Дата публикации;*
;;e;Место изготовления;
;;f;Изготовитель;
;;g;Дата изготовления;
300;;a;Объём;*
490;;a;Сведения о серии;*
;;l; Расстановочный шифр ;
;;v;Номер тома/обозначение последовательности;*
;;X;Международный стандартный номер сериального;
500;;a;Общее примечание;
520;;;;
650;;;;
653;;a;Ключевое слово;*
700;;a;Имя лица;
773;;;;
852;;;Местонахождение;
856;;;;
952;;;;
